ime;lat_ime;porodica;list;visina;plod;kora_boja;kora_tekstura;krosnja;link
Makedonski hrast;Quercus trojana;Bukva;makedonski_hrast_list.jpg;do 20 m;makedonski_hrast_plod.jpg;sivosmeða;duboko ispucana;makedonski_hrast_krosnja.jpg;https://www.plantea.com.hr/makedonski-hrast/
Cretna Breza;Betula pubescens;Breza;cretna_breza_list.jpg;10 do 20 m;cretna_breza_plod.jpg;bijela, smeðecrna;glatka, gruba i ispucana;cretna_breza_korsnja.jpg;https://www.plantea.com.hr/cretna-breza/
Maklen;Acer monspessulanum;Sapindovka;maklen_list.jpg;5 do 15 m;maklen_plod.jpg;tamnosiva;glatka,ispucana;maklen_krosnja.jpg;https://www.plantea.com.hr/maklen/
Bijela joha;Alnus incana;Breza;bijela_joha_list.jpg;do 20 m;bijela_joha_plod.jpg;sivkasta;glatka;bijela_joha_krosnja.jpg;https://www.plantea.com.hr/bijela-joha/
Mlijeè;Acer platanoides;Sapindovka;mlijec_list.jpg;do 20 m;mlijec_plod.jpg;smeðesiva, tamnosmeða;glatka, uzdužno i popreèno izbrazdana;mlijec_krosnja.jpg;https://www.plantea.com.hr/javor-mlijec/
Obièni grab;Carpinus betulus;Breza;obicni_grab_list.jpg;do 25 m;obicni_grab_plod.jpg;svijetlosiva;glatka, ispucana;obicni_grab_krosnja;https://www.plantea.com.hr/obicni-grab/
Pitomi kesten;Castanea sativa;Bukva;pitomi_kesten_list.jpg;preko 30 m;pitomi_kesten_plod.jpg;crvenkastosmeða, sivocrna;glatka, uzdužno ispucana;pitomi_kesten_krosnja;https://www.plantea.com.hr/pitomi-kesten/
Klen;Acer campestre;Sapindovka;klen_list.jpg;do 20 m;klen_plod.jpg;svijetlosiva, tamna i bjelkasto pošarana;glatka, mrežasto ispucana;klen_krosnja.jog;https://www.plantea.com.hr/javor-klen/
Kostela;Celtis australis;Brijest;kostela_list.jpg;do 25 m;kostela_plod.jpg;siva;glatka;kostela_krosnja.jpg;https://www.plantea.com.hr/kostela/
Crna joha;Alnus glutinosa;Breza;crna_joha_list.jpg;do 25 m;crna_joha_plod.jpg;zelenkastosmeða, crvenkasta;glatka, snažno ispucana;crna_joha_krosnja.jpg;https://www.plantea.com.hr/crna-joha/
