ime;lat_ime;porodica;visina;plod;kora_boja;kora_tekstura;krosnja;link
Makedonski hrast;Quercus trojana;7;do 20 m;makedonski_hrast_plod.jpg;sivosmeđa;duboko ispucana;makedonski_hrast_krosnja.jpg;https://www.plantea.com.hr/makedonski-hrast/
Cretna Breza;Betula pubescens;2;10 do 20 m;cretna_breza_plod.jpg;bijela, smeđecrna;glatka, gruba i ispucana;cretna_breza_krosnja.jpg;https://www.plantea.com.hr/cretna-breza/
Maklen;Acer monspessulanum;9;5 do 15 m;maklen_plod.jpg;tamnosiva;glatka,ispucana;maklen_krosnja.jpg;https://www.plantea.com.hr/maklen/
Bijela joha;Alnus incana;2;do 20 m;bijela_joha_plod.jpg;sivkasta;glatka;bijela_joha_krosnja.jpg;https://www.plantea.com.hr/bijela-joha/
Mliječ;Acer platanoides;9;do 20 m;mlijec_plod.jpg;smeđesiva, tamnosmeđa;glatka, uzdužno i poprečno izbrazdana;mlijec_krosnja.jpg;https://www.plantea.com.hr/javor-mlijec/
Obični grab;Carpinus betulus;10;do 25 m;obicni_grab_plod.jpg;svijetlosiva;glatka, ispucana;obicni_grab_krosnja.jpg;https://www.plantea.com.hr/obicni-grab/
Pitomi kesten;Castanea sativa;6;preko 30 m;pitomi_kesten_plod.jpg;crvenkastosmeđa, sivocrna;glatka, uzdužno ispucana;pitomi_kesten_krosnja.jpg;https://www.plantea.com.hr/pitomi-kesten/
Klen;Acer campestre;9;do 20 m;klen_plod.jpg;svijetlosiva, tamna i bjelkasto pošarana;glatka, mrežasto ispucana;klen_krosnja.jpg;https://www.plantea.com.hr/javor-klen/
Kostela;Celtis australis;10;do 25 m;kostela_plod.jpg;siva;glatka;kostela_krosnja.jpg;https://www.plantea.com.hr/kostela/
Crna joha;Alnus glutinosa;2;do 25 m;crna_joha_plod.jpg;zelenkastosmeđa, crvenkasta;glatka, snažno ispucana;crna_joha_krosnja.jpg;https://www.plantea.com.hr/crna-joha/
